index,first_name,last_name,agency,weekly_hours_worked,hourly_wage,allocated_wage,pharmacy,dental,vision,unspecified,weekly_spending,weeks_in_program
0,Darryl,Goodman,OneStop,32,2,61.44,171.27,369.79,62.53,455.97,66.22,16
1,Brett,Stuber,Elim,34,4,130.56,28.69,273.85,208.31,277.42,15.77,50
2,Fran,Knox,K,27,1,25.92,179.06,439.51,50.13,370.92,21.66,48
3,Michael,Martinez,OneStop,26,1,24.96,88.8,163.67,180.71,757.86,59.55,20
4,Michael,Hillman,K,11,1,10.56,36.56,433.15,74.03,878.14,101.56,14
5,Robert,Valencia,Elim,14,4,53.76,18.02,372.78,51.91,152.63,18.6,32
6,Seth,Muraro,OneStop,29,2,55.68,148.46,327.86,82.97,925.25,64.55,23
7,Carlton,Comer,K,28,4,107.52,179.23,783.85,266.42,271.63,30.64,49
8,Jimmy,Frawley,EverGreen,35,2,67.2,167.19,89.75,60.29,323.26,33.71,19
9,Shirley,Duffy,EverGreen,32,1,30.72,159.67,468.34,73.56,839.37,29.63,52
10,Kelly,Trager,EverGreen,38,1,36.48,143.32,181.1,157.67,860.34,63.93,21
11,Jordan,Creech,OneStop,12,4,46.08,81.4,195.95,131.78,619.29,22.36,46
12,Rafael,Grise,HomeAssist,31,2,59.52,116.88,57.8,133.75,358.93,16.68,40
13,Nicholas,Petersen,K,12,3,34.56,124.7,118.72,199.16,870.83,32.84,40
14,Wilburn,Clark,OneStop,25,3,72.0,117.06,306.21,131.46,458.23,27.38,37
15,Stephen,Barrett,K,23,1,22.08,37.01,75.5,70.06,454.57,33.53,19
16,Shelly,Jenkins,OneStop,19,2,36.48,24.56,261.51,129.29,450.06,39.34,22
17,Matthew,Wilson,OneStop,25,1,24.0,97.74,239.27,104.64,490.51,21.68,43
18,Robert,Jameson,OneStop,19,3,54.72,18.97,450.66,64.85,792.78,33.18,40
19,Ashley,Conley,NU,35,1,33.6,26.01,157.24,164.15,144.73,15.38,32
20,Myrna,Thompson,NU,33,2,63.36,174.85,401.07,121.43,853.72,37.83,41
21,Laura,Berry,HomeAssist,39,3,112.32,61.43,857.22,143.3,167.05,51.21,24
22,Richard,Dorsch,NU,24,2,46.08,124.23,304.42,98.78,738.66,46.89,27
23,Leroy,Floyd,K,21,4,80.64,116.63,472.13,63.37,155.08,26.04,31
24,Dianna,Martinez,HomeAssist,15,1,14.4,110.95,207.12,153.22,735.6,70.99,17
25,Raymond,Rohn,NU,12,4,46.08,56.15,312.38,140.24,228.24,19.39,38
26,Silvia,Cornett,K,19,2,36.48,142.64,432.86,100.31,560.61,65.07,19
27,Joseph,Hancock,EverGreen,16,3,46.08,29.24,416.82,61.04,693.8,36.39,33
28,Veronica,Sperrey,EverGreen,39,4,149.76,141.0,791.87,115.66,182.22,35.16,35
29,Ahmad,Hathorn,K,32,3,92.16,19.95,218.88,129.47,757.87,80.44,14
30,Stephen,Varos,Elim,15,2,28.8,20.0,167.02,136.61,461.23,22.42,35
31,Richard,Chandler,HomeAssist,33,4,126.72,72.7,382.32,111.65,472.56,45.18,23
32,Rose,Uziel,K,35,3,100.8,29.2,647.97,308.86,718.42,51.65,33
33,Margaret,Sloan,HomeAssist,28,2,53.76,162.59,51.09,120.35,991.21,28.2,47
34,Angie,Thomas,NU,20,1,19.2,161.13,159.97,96.02,637.86,36.38,29
35,Christie,Lane,Elim,36,4,138.24,48.95,706.03,312.61,298.56,31.77,43
36,Marie,Gonzalez,EverGreen,23,4,88.32,131.31,454.5,151.14,224.43,41.8,23
37,Maureen,Ramos,EverGreen,22,1,21.12,41.65,82.48,173.66,419.72,27.6,26
38,Nikki,Tanner,NU,12,4,46.08,144.52,340.88,68.74,830.68,92.32,15
39,Evelyn,Fischer,Elim,33,2,63.36,127.85,341.58,72.03,859.84,40.04,35
40,Gino,Benson,K,21,2,40.32,69.32,207.16,95.3,820.91,49.7,24
41,Roy,Takacs,OneStop,23,4,88.32,147.26,223.21,142.83,615.22,94.04,12
42,Jerry,Williams,Elim,11,4,42.24,85.61,214.42,123.8,849.6,48.98,26
43,Violet,Casey,K,20,4,76.8,57.21,473.88,172.9,476.33,78.69,15
44,Cheryl,Milian,K,32,4,122.88,64.35,966.94,204.53,981.29,130.42,17
